ticker,sector,marketCap,trailingPE,forwardPE,priceToBook,enterpriseToRevenue,returnOnEquity,returnOnAssets,profitMargins,operatingMargins,debtToEquity,currentRatio,quickRatio,beta,revenueGrowth,earningsGrowth,pegRatio
MMM,Industrials,91377950720,27.40575,21.716455,19.692379,3.995,0.72920996,0.07971,0.137,0.24367,281.904,1.842,1.027,1.152,0.035,-0.375,-0.5791054666666666
AOS,Industrials,9242947584,17.778975,16.206387,4.9792404,2.411,0.28209,0.13878,0.13851,0.18631001,12.063,1.544,0.894,1.336,0.044,0.146,1.1100265068493151
ABT,Healthcare,219854782464,15.869347,24.480621,4.3108215,5.137,0.3062,0.067930005,0.3188,0.19395,25.31,1.703,1.088,0.719,0.069,0.0,
ABBV,Healthcare,396548079616,169.97726,18.497114,-150.08026,7.709,1.37961,0.09585,0.04004,0.35497,,0.725,0.468,0.352,0.091,-0.887,-0.20853567080045096
ACN,Technology,162576990208,21.500822,18.551527,5.203229,2.291,0.25509,0.111829996,0.11021,0.1522,25.38,1.42,1.301,1.262,0.073,-0.155,-1.1968727096774194
ADBE,Technology,136935997440,20.12531,15.708516,11.519055,5.86,0.52875,0.18094,0.30012,0.36289,56.542,1.019,0.87,1.536,0.107,0.112,1.4025460714285714
AMD,Technology,350419681280,112.10417,42.203922,5.764328,10.836,0.05317,0.025980001,0.10323,0.13736,6.366,2.308,1.176,1.913,0.356,0.603,0.6998992039800995
AES,Utilities,9941209088,9.184211,6.8768473,2.5723236,3.865,0.05106,0.02269,0.0874,0.20501,302.896,0.723,0.376,1.003,0.019,0.253,0.2718121462450593
AFL,Financial Services,58205712384,14.30092,15.178522,1.9943193,3.517,0.1558,0.02645,0.23552,0.4327,50.003,1.089,0.993,0.66,0.607,,
A,Healthcare,42187698176,32.562363,26.338053,6.2485824,6.288,0.20618999,0.07524,0.18754,0.23804002,49.755,1.957,1.396,1.279,0.094,0.249,1.0577531325301204
APD,Basic Materials,57154494464,,18.120676,3.8039434,6.317,-0.01923,-0.0126,-0.03277,-0.89169,106.228,1.381,0.999,0.871,-0.006,-0.998,-0.1815698997995992
ABNB,Consumer Cyclical,72549924864,28.281622,26.333334,8.3680525,5.229,0.30776,0.07475,0.2203,0.39683,26.458,1.392,0.845,1.112,0.097,0.038,6.9298247368421055
AKAM,Technology,12491817984,25.463343,12.998504,2.638087,4.017,0.10642,0.03785,0.12262999,0.15743,110.548,2.281,1.983,0.701,0.05,1.553,0.0836993174500966
ALB,Basic Materials,15081761792,,69.641304,1.9431933,3.927,0.00209,0.0014,-0.00428,-0.02244,36.655,2.273,1.384,1.462,-0.035,,
ARE,Real Estate,9303173120,,15.648256,0.5510683,8.88,-0.01084,0.010670001,-0.13436,0.19073,66.083,1.579,1.363,1.324,-0.05,,
