ticker,sector,marketCap,trailingPE,forwardPE,priceToBook,enterpriseToRevenue,returnOnEquity,returnOnAssets,profitMargins,operatingMargins,debtToEquity,currentRatio,quickRatio,beta,revenueGrowth,earningsGrowth
MMM,Industrials,89204817920,26.753992,21.199999,19.224058,3.908,0.72920996,0.07971,0.137,0.24367,281.904,1.842,1.027,1.148,0.035,-0.375
AOS,Industrials,9533015040,18.336927,16.714987,5.1355023,2.486,0.28209,0.13878,0.13851,0.18631001,12.063,1.544,0.894,1.335,0.044,0.146
ABT,Healthcare,217696616448,15.713568,24.24031,4.268505,5.087,0.3062,0.067930005,0.3188,0.19395,25.31,1.703,1.088,0.714,0.069,0.0
ABBV,Healthcare,399570305024,172.58015,18.638088,-151.22408,7.759,1.37961,0.09585,0.04004,0.35497,,0.725,0.468,0.349,0.091,-0.887
ACN,Technology,166046285824,21.92352,18.947407,5.314263,2.34,0.25509,0.111829996,0.11021,0.1522,25.38,1.42,1.301,1.261,0.073,-0.155
ADBE,Technology,146883493888,21.600748,16.849636,12.355838,6.283,0.52875,0.18094,0.30012,0.36289,56.542,1.019,0.87,1.54,0.107,0.112
AMD,Technology,354864234496,113.52605,42.739216,5.8374395,10.975,0.05317,0.025980001,0.10323,0.13736,6.366,2.308,1.176,1.927,0.356,0.603
AES,Utilities,9912723456,9.157895,6.857143,2.564953,3.863,0.05106,0.02269,0.0874,0.20501,302.896,0.723,0.376,1.001,0.019,0.253
AFL,Financial Services,58446385152,14.360052,15.241282,2.0025654,3.53,0.1558,0.02645,0.23552,0.4327,50.003,1.089,0.993,0.658,0.607,
A,Healthcare,41246478336,31.835886,25.750443,6.109175,6.152,0.20618999,0.07524,0.18754,0.23804002,49.755,1.957,1.396,1.274,0.094,0.249
APD,Basic Materials,58027048960,,18.397318,3.862017,6.39,-0.01923,-0.0126,-0.03277,-0.89169,106.228,1.381,0.999,0.863,-0.006,-0.998
ABNB,Consumer Cyclical,76113133568,29.6,27.626667,8.779041,5.524,0.30776,0.07475,0.2203,0.39683,26.458,1.392,0.845,1.118,0.097,0.038
AKAM,Technology,12011308032,24.48387,12.498503,2.5366104,3.901,0.10642,0.03785,0.12262999,0.15743,110.548,2.281,1.983,0.682,0.05,1.553
ALB,Basic Materials,14734555136,,68.03804,1.8984578,3.856,0.00209,0.0014,-0.00428,-0.02244,36.655,2.273,1.384,1.431,-0.035,
ARE,Real Estate,7860083712,,13.22093,0.46558768,8.408,-0.01084,0.010670001,-0.13436,0.19073,66.083,1.579,1.363,1.329,-0.05,
ALGN,Healthcare,11395581952,30.467056,15.322613,2.861798,2.61,0.095769994,0.06323,0.095010005,0.15673,3.064,1.289,1.091,1.859,0.018,-0.497
ALLE,Industrials,13685962752,21.497297,20.421053,7.0305386,3.931,0.36411,0.10391,0.16092,0.21856001,116.084,1.771,1.014,1.043,0.107,0.095
LNT,Utilities,16837017600,20.597485,20.278637,2.3042285,6.552,0.11461,0.027209999,0.19139,0.28843,163.145,0.825,0.554,0.654,0.119,-0.052
ALL,Financial Services,53299224576,6.556564,10.629006,2.0778887,0.798,0.34469002,0.05093,0.12533,0.24439,29.43,0.426,0.288,0.249,0.038,2.222
GOOGL,Communication Services,3891261341696,31.746046,35.856026,10.029345,9.916,0.3545,0.16275999,0.32233003,0.30512,11.424,1.747,1.563,1.07,0.159,0.353
GOOG,Communication Services,3888216801280,31.733006,35.98771,10.054943,9.942,0.3545,0.16275999,0.32233003,0.30512,11.424,1.747,1.563,1.07,0.159,0.353
MO,Consumer Defensive,97416880128,11.066794,10.839252,-36.79569,5.932,,0.22268,0.4398,0.62826,,0.618,0.449,0.5,-0.017,0.052
AMZN,Consumer Cyclical,2453725249536,32.465347,37.32195,6.636308,3.645,0.24327,0.07495,0.11063,0.11057,43.405,1.009,0.76,1.372,0.134,0.364
AMCR,Consumer Cyclical,19159388160,27.666666,10.50633,1.6325728,1.96,0.07467,0.03593,0.03345,0.09713,134.68,1.042,0.52,0.681,0.713,-0.144
AEE,Utilities,27011622912,19.203848,20.296747,2.1136181,5.47,0.11387,0.02931,0.1634,0.34,155.736,0.93,0.461,0.581,0.248,0.382
AEP,Utilities,62915121152,17.209372,19.955858,2.069767,5.203,0.12923001,0.03209,0.17228001,0.25885,152.132,0.686,0.419,0.598,0.109,0.006
AXP,Financial Services,257719992320,24.872396,24.49405,7.871581,4.007,0.33935001,0.03708,0.16143999,0.22052999,185.273,1.602,1.579,1.147,0.122,0.186
AIG,Financial Services,42674913280,13.854317,11.47988,1.0208598,1.469,0.07688,0.017819999,0.120170005,0.15235,22.48,0.617,0.214,0.626,-0.041,0.323
AMT,Real Estate,83751411712,28.48089,26.341679,21.189432,12.78,0.28839,0.04733,0.28106,0.45477,418.09,0.59,0.492,0.915,0.077,
AWK,Utilities,25268502528,22.759226,22.7193,2.3167198,7.969,0.10457,0.035520002,0.21933001,0.42591,140.983,0.421,0.31,0.751,0.097,0.081
AMP,Financial Services,44973195264,13.124072,12.349469,6.8826914,2.057,0.59589,0.022219999,0.19586,0.37298,54.222,2.433,1.554,1.263,0.073,0.866
AME,Industrials,46144602112,31.563982,27.369864,4.369314,6.742,0.14632,0.07488,0.20502001,0.25787002,26.09,1.155,0.66,1.047,0.108,0.088
AMGN,Healthcare,177639391232,25.513535,15.959846,18.467783,6.193,0.8171,0.07706,0.19474001,0.34153,567.491,1.28,0.823,0.447,0.124,0.136
APH,Technology,170584375296,46.453335,64.51852,13.620015,8.337,0.34807998,0.14032,0.18218,0.27481002,63.99,2.07,1.409,1.194,0.534,1.021
ADI,Technology,137734815744,61.686405,37.306366,4.073125,12.981,0.06573,0.03891,0.20575,0.30501,26.5,2.19,1.568,1.039,0.259,0.661
AON,Financial Services,74434306048,27.616001,19.85049,9.357296,5.339,0.3769,0.05587,0.15962,0.20365,214.88,1.058,0.222,0.833,0.074,0.344
APA,Energy,9696013312,6.483254,9.854546,1.6157883,1.56,0.27427998,0.099259995,0.16093999,0.27281,66.895,0.775,0.585,0.755,-0.164,
APO,Financial Services,80173776896,20.10626,16.288916,3.6877937,3.671,0.16549,0.0144299995,0.15777001,0.29920998,94.598,1.986,1.875,1.605,0.264,1.153
AAPL,Technology,4137203793920,37.319946,33.54753,55.85654,10.037,1.7142199,0.22964,0.26915002,0.31647,152.411,0.893,0.771,1.107,0.079,0.912
AMAT,Technology,213500166144,30.946882,27.65738,10.423149,7.43,0.35508,0.14974,0.24669,0.27838,32.109,2.61,1.72,1.666,-0.035,0.135
APTV,Consumer Cyclical,16630317056,57.85606,10.941261,1.7817233,1.157,0.03294,0.057729997,0.01464,0.114350006,85.425,1.793,1.215,1.516,0.074,
ACGL,Financial Services,34231764992,8.596064,10.146018,1.4657142,1.699,0.17811,0.03899,0.20959,0.30691,11.501,0.564,0.277,0.447,0.082,0.391
ADM,Consumer Defensive,28358418432,23.987804,11.639052,1.2592024,0.44,0.05242,0.0175,0.01429,0.01949,40.467,1.372,0.369,0.686,0.022,4.891
ANET,Technology,161931476992,48.70833,13.215828,13.598772,17.971,0.31736,0.14658,0.3973,0.42378,,3.254,2.485,1.411,0.275,0.155
AJG,Financial Services,61558726656,38.29233,21.250887,2.6526864,6.118,0.090670004,0.023020001,0.13257,0.17212,58.979,1.055,0.167,0.688,0.2,-0.252
